id,repository,url,stars_snapshot,metadata_decision,metadata_reason,metadata_review_basis,source_status,source_review_basis,source_reviewed_at,tested,team_reason,limitations,evidence,source_url,source_sha256,additional_source,related_id
2546,ljagiello/ctf-skills,https://github.com/ljagiello/ctf-skills,3322,范围不优先：垂直领域,主要聚焦特定领域的模型、研究或个人应用；本轮未扩展该专业领域分类。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
2547,deep-diver/LLM-As-Chatbot,https://github.com/deep-diver/LLM-As-Chatbot,3317,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,secondary,官方 README 定位、功能和边界段落；全文另存，未安装实测,2026-09-21T14:39:58.613152+00:00,False,团队可参考将本地模型接入 Gradio 或 Discord 的方法。,较早模型演示，未核验组织管理或当前依赖兼容。,README L3、7–9、18–22：聊天服务、UI 和部署。,https://raw.githubusercontent.com/deep-diver/LLM-As-Chatbot/HEAD/README.md,93435edbf8a662a3fe8ed2915e50685fb0bba57bdd18853cb06c204bc598726d,,
2548,vectara/hallucination-leaderboard,https://github.com/vectara/hallucination-leaderboard,3316,范围不优先：研究训练,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
2549,giancarloerra/SocratiCode,https://github.com/giancarloerra/SocratiCode,3314,待README核验,跨项目与分支感知的代码知识工具，核验团队共享和索引部署范围。,逐项阅读缓存的仓库名称与完整简介,candidate,官方 README 定位、功能和边界段落；全文另存，未安装实测,2026-09-21T14:39:58.613153+00:00,False,研发团队复用代码与基础设施索引，辅助影响分析和跨代理交接。,共享团队云索引/SSO/审计为 private beta；本地多代理索引不等于多人权限。,README L42–52、1026：本地索引、多代理和云团队层。,https://raw.githubusercontent.com/giancarloerra/SocratiCode/HEAD/README.md,64b046e75004bb96cc27fc1f0309e7b7e4f99d90d631f0cc6734e5633c94f1ca,,
2550,johnbean393/Sidekick,https://github.com/johnbean393/Sidekick,3314,范围不优先：个人工具,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
2551,X-D-Lab/LangChain-ChatGLM-Webui,https://github.com/X-D-Lab/LangChain-ChatGLM-Webui,3309,需去重核验,可能是已有项目的改名、组件、镜像或衍生入口，需核对后避免重复收录。,逐项阅读缓存的仓库名称与完整简介,secondary,官方 README 定位、功能和边界段落；全文另存，未安装实测,2026-09-21T14:39:58.613155+00:00,False,可供团队参考本地模型文档问答原型。,早期模型栈，与已有 RAG 应用重叠；不是同名上游本体。,README L30–32、47–48：LangChain、ChatGLM 和文档导入。,https://raw.githubusercontent.com/X-D-Lab/LangChain-ChatGLM-Webui/HEAD/README.md,52be1744b4bc9d6533dc8e778173b3cfbba48686d71926a6d211076cd76696ad,,
2552,Meirtz/Awesome-Context-Engineering,https://github.com/Meirtz/Awesome-Context-Engineering,3308,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,secondary,官方 README 定位、功能和边界段落；全文另存，未安装实测,2026-09-21T14:39:58.613156+00:00,False,团队可借鉴上下文、记忆和运行时研究资源。,论文与目录集合，未逐项验证企业能力描述。,README L22、55–61：综述和上下文工程范围。,https://raw.githubusercontent.com/Meirtz/Awesome-Context-Engineering/HEAD/README.md,b1bef0494795d82a569856500d6eb8da6736d1c027a56b600c4ac93541a384b8,,
2553,vladmandic/human,https://github.com/vladmandic/human,3308,范围不优先：研究训练,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
2554,dangkhoasdc/awesome-ai-residency,https://github.com/dangkhoasdc/awesome-ai-residency,3306,范围不优先：通用学习,主要为通用编程、基础机器学习或课程资料，简介未明确团队AI工程实践。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
2555,resemble-ai/Resemblyzer,https://github.com/resemble-ai/Resemblyzer,3305,范围不优先：研究训练,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
2556,stellar/stellar-core,https://github.com/stellar/stellar-core,3302,范围不优先：通用软件,主要为通用软件或基础设施，AI检索命中未体现足够具体的团队AI工作场景。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
2557,Weikezi-AI/CNote,https://github.com/Weikezi-AI/CNote,3302,范围不优先：通用学习,主要为通用编程、基础机器学习或课程资料，简介未明确团队AI工程实践。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
2558,lxf746/any-auto-register,https://github.com/lxf746/any-auto-register,3301,范围不优先：个人工具,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
2559,tradytics/eiten,https://github.com/tradytics/eiten,3300,范围不优先：垂直领域,主要聚焦特定领域的模型、研究或个人应用；本轮未扩展该专业领域分类。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
2560,langchain-ai/langgraphjs,https://github.com/langchain-ai/langgraphjs,3299,需去重核验,可能是已有项目的改名、组件、镜像或衍生入口，需核对后避免重复收录。,逐项阅读缓存的仓库名称与完整简介,candidate,官方 README 定位、功能和边界段落；全文另存，未安装实测,2026-09-21T14:39:58.613157+00:00,False,JS 团队统一持久流程、记忆与人工状态检查，降低复杂代理交付成本。,LangSmith 观察和部署属独立平台，不全算开源库自带。,官方 core 子包 README L22、35–44：编排、HITL 与生态分工。,https://raw.githubusercontent.com/langchain-ai/langgraphjs/HEAD/libs/langgraph-core/README.md,f7f47679adfd494bd526b6bd1fa207d885912270f596e9636cfae9d01bd5c855,,
2561,root-project/root,https://github.com/root-project/root,3297,范围不优先：通用软件,主要为通用软件或基础设施，AI检索命中未体现足够具体的团队AI工作场景。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
2562,superlinked/sie,https://github.com/superlinked/sie,3295,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,candidate,官方 README 定位、功能和边界段落；全文另存，未安装实测,2026-09-21T14:39:58.613160+00:00,False,平台团队统一检索、生成等模型接口，按需加载并通过 Kubernetes 扩展。,推理基础设施；具体模型授权与性能需分别验证。,README L13、32–37：模型目录、LRU、Helm 和监控。,https://raw.githubusercontent.com/superlinked/sie/HEAD/README.md,d6771c2e25dc14e899fffdc78fe98424406f47c631d5a82c0063ce0dd0c1f332,,
2563,lucidrains/musiclm-pytorch,https://github.com/lucidrains/musiclm-pytorch,3294,范围不优先：研究训练,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
2564,mljar/mljar-supervised,https://github.com/mljar/mljar-supervised,3294,范围不优先：研究训练,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
2565,rag-web-ui/rag-web-ui,https://github.com/rag-web-ui/rag-web-ui,3292,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,secondary,官方 README 定位、功能和边界段落；全文另存，未安装实测,2026-09-21T14:39:58.613161+00:00,False,团队成员可用知识库 UI/API 查询文档。,泛用知识问答应用，与已有候选重叠，未核验细粒度团队权限。,README L28–37、Features：文档处理、模型选择与接口。,https://raw.githubusercontent.com/rag-web-ui/rag-web-ui/HEAD/README.md,7bed23d8d63c8a086027a1e769a7bcbc5fbb1d6454dc1c5d818192be66064b38,,
2566,Anil-matcha/awesome-generative-ai-apps,https://github.com/Anil-matcha/awesome-generative-ai-apps,3291,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,secondary,官方 README 定位、功能和边界段落；全文另存，未安装实测,2026-09-21T14:39:58.613163+00:00,False,开发团队可参考生成式应用模板和集成方式。,每个模板需独立验证；可出售和收入宣传不作为完整度或收益证据。,README L19–23、56–69：应用模板目录与配套项目。,https://raw.githubusercontent.com/Anil-matcha/awesome-generative-ai-apps/HEAD/README.md,5b07b649414d09d44948a47bd44640d2048875bd69e64815040c5a98dfbaa610,,
2567,haydenbleasel/ultracite,https://github.com/haydenbleasel/ultracite,3291,范围不优先：通用软件,主要为通用软件或基础设施，AI检索命中未体现足够具体的团队AI工作场景。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
2568,samber/cc-skills-golang,https://github.com/samber/cc-skills-golang,3288,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,candidate,官方 README 定位、功能和边界段落；全文另存，未安装实测,2026-09-21T14:40:29.938257+00:00,False,Go 团队复用语言实践，并用显式公司技能覆盖默认规范。,Git/CI/PR 流程技能需另外插件，未逐条验证规则效果。,README L3、10、290、476：范围、人审与团队覆盖机制。,https://raw.githubusercontent.com/samber/cc-skills-golang/HEAD/README.md,396e2dda60949e5d22c497931e564a70ffea828e60b1449b3e13b289f2bb26ee,,
2569,wendy7756/AI-Video-Transcriber,https://github.com/wendy7756/AI-Video-Transcriber,3287,范围不优先：个人工具,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
2570,yunlong10/Awesome-LLMs-for-Video-Understanding,https://github.com/yunlong10/Awesome-LLMs-for-Video-Understanding,3285,范围不优先：研究训练,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
2571,google-deepmind/dm-haiku,https://github.com/google-deepmind/dm-haiku,3284,范围不优先：研究训练,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
2572,miqdadbadjuber/anti-slop,https://github.com/miqdadbadjuber/anti-slop,3284,范围不优先：个人工具,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
2573,teddylee777/machine-learning,https://github.com/teddylee777/machine-learning,3284,范围不优先：研究训练,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
2574,bitbrain/beehave,https://github.com/bitbrain/beehave,3281,范围不优先：研究训练,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
2575,neomjs/neo,https://github.com/neomjs/neo,3281,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,secondary,官方 README 定位、功能和边界段落；全文另存，未安装实测,2026-09-21T14:40:29.938631+00:00,False,团队可参考 AI 与运行时交互的应用框架。,本仓主要是应用引擎，代理 OS 和管理器在兄弟仓；自维护产出不等于通用团队产品。,README L20、36–48：Body、Brain、Institution 分仓。,https://raw.githubusercontent.com/neomjs/neo/HEAD/README.md,802dc8010ef0f15b7b9a0e7e6a9a71c76d55f0f94da9c6512057b718485af722,,
2576,sentrux/sentrux,https://github.com/sentrux/sentrux,3281,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,candidate,官方 README 定位、功能和边界段落；全文另存，未安装实测,2026-09-21T14:40:29.938633+00:00,False,团队可把结构检查和规则反馈接入代理改码过程，辅助统一质量门槛。,静态分数不证明软件正确；自改进效果未实测。,README L11、69、81–83、Rules Engine：静态结构反馈与 MCP。,https://raw.githubusercontent.com/sentrux/sentrux/HEAD/README.md,b9ca3884066d9202fa4fc0cd404b5a4ecd158d2d0aa2853f614e5820ffd8213f,,
2577,nexu-io/nexu,https://github.com/nexu-io/nexu,3280,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,secondary,官方 README 定位、功能和边界段落；全文另存，未安装实测,2026-09-21T14:40:29.938635+00:00,False,小团队成员可通过飞书、Slack 等渠道使用桌面代理。,面向一人/小队入口，不证明多人工作区权限；云模型和渠道仍有数据流。,README L39、80、96–106：OpenClaw 桌面客户端与 IM。,https://raw.githubusercontent.com/nexu-io/nexu/HEAD/README.md,f04ef48638af881404c9860fc63cb5f32a7de6c11f326d1d50a3df6f9300b539,,
2578,noahshinn/reflexion,https://github.com/noahshinn/reflexion,3279,范围不优先：研究训练,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
2579,NVIDIA/physicsnemo,https://github.com/NVIDIA/physicsnemo,3275,范围不优先：研究训练,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
2580,agent-of-empires/agent-of-empires,https://github.com/agent-of-empires/agent-of-empires,3274,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,secondary,官方 README 定位、功能和边界段落；全文另存，未安装实测,2026-09-21T14:40:29.938636+00:00,False,研发成员可管理持久代理会话、隔离分支并审阅差异。,会话管理器，非真人组织平台；可选隔离不等于默认全部沙箱。,README L25–27、52–57：tmux、worktree 和可选容器。,https://raw.githubusercontent.com/agent-of-empires/agent-of-empires/HEAD/README.md,c77ad1ebdda98541523ed6f08098af3a72fb3742a90d6ad032503d1464527537,,
2581,cool-team-official/cool-admin-midway,https://github.com/cool-team-official/cool-admin-midway,3273,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,candidate,官方 README 定位、功能和边界段落；全文另存，未安装实测,2026-09-21T14:40:29.938637+00:00,False,业务开发团队复用权限后台与多租户结构，构建 AI 客服等内部流程。,后台框架与前端另仓，生成及隔离效果未实测。,README L5、17–23：AI 生成、流程、租户和模块。,https://raw.githubusercontent.com/cool-team-official/cool-admin-midway/HEAD/README.md,c43ac5177a3e54f4de0bacf8f59965ecd776f9e411bb6d6cd34d0898c2eec539,,
2582,TestSprite/testsprite-cli,https://github.com/TestSprite/testsprite-cli,3273,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,secondary,官方 README 定位、功能和边界段落；全文另存，未安装实测,2026-09-21T14:40:29.938639+00:00,False,QA 团队可从 CI/终端触发测试，把失败证据反馈给编码代理。,AI 测试在云平台执行，公开 CLI 不代表完整测试后端开源。,README L45–47、64–66：云测试平台的官方 CLI。,https://raw.githubusercontent.com/TestSprite/testsprite-cli/HEAD/README.md,d307101c2b94532b84e86c5a2cb7a5b133b6ced3ab850b569345256cf01f1caa,,
2583,lmnr-ai/lmnr,https://github.com/lmnr-ai/lmnr,3272,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,candidate,官方 README 定位、功能和边界段落；全文另存，未安装实测,2026-09-21T14:40:29.938641+00:00,False,研发与运维团队共用轨迹、评估集和仪表盘，通过 Slack 接收异常行为线索。,行为检测需定义与验证；第三方集成不等于本仓提供那些工具本体。,README L10–25：OTel、Signals、CI 评估和 SQL。,https://raw.githubusercontent.com/lmnr-ai/lmnr/HEAD/README.md,bb0c1b4fc91768417baed12e52d4c2580bbacb1307024f1f328c428cba4a5d3f,,
2584,Snailclimb/interview-guide,https://github.com/Snailclimb/interview-guide,3271,范围不优先：个人工具,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
2585,graykode/nlp-roadmap,https://github.com/graykode/nlp-roadmap,3267,范围不优先：通用学习,主要为通用编程、基础机器学习或课程资料，简介未明确团队AI工程实践。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
2586,openclaw/acpx,https://github.com/openclaw/acpx,3267,需去重核验,可能是已有项目的改名、组件、镜像或衍生入口，需核对后避免重复收录。,逐项阅读缓存的仓库名称与完整简介,candidate,官方 README 定位、功能和边界段落；全文另存，未安装实测,2026-09-21T14:40:29.938643+00:00,False,工具团队用同一接口连接不同编码代理，管理会话、权限与机器可读输出。,pre-1.0 接口可能变化；shared runtime 是本地会话共享而非真人多租户。,README L13、25、46、75–90：ACP 客户端与会话所有者。,https://raw.githubusercontent.com/openclaw/acpx/HEAD/README.md,e03a925153c2289ac3d4696c6f2e42c7da2de1e1a0ab6770a58a924ebb1ef913,,
2587,punkpeye/fastmcp,https://github.com/punkpeye/fastmcp,3267,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,secondary,官方 README 定位、功能和边界段落；全文另存，未安装实测,2026-09-21T14:40:29.938645+00:00,False,可供团队维护旧 MCP 会话式服务。,当前只支持 2025-11-25 及以前修订，未支持所述新协议；不同于 Python FastMCP。,README L3、7、11–16：框架与协议支持声明。,https://raw.githubusercontent.com/punkpeye/fastmcp/HEAD/README.md,495de1155b53147bdc8e41c6f05d7cc2c8720d2622e0a3ab7a59430c1abcedcd,,
2588,rsxdalv/TTS-WebUI,https://github.com/rsxdalv/TTS-WebUI,3267,范围不优先：个人工具,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
2589,aandrew-me/tgpt,https://github.com/aandrew-me/tgpt,3263,范围不优先：个人工具,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
2590,ColeMurray/background-agents,https://github.com/ColeMurray/background-agents,3263,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,candidate,官方 README 定位、功能和边界段落；全文另存，未安装实测,2026-09-21T14:41:02.980352+00:00,False,同事可在同一会话协作，通过 Slack、工单和 PR 交接任务并保留提交归属。,仅限受信任的单组织部署；不校验每位用户的仓库权限，可访问共享 GitHub App 已授权的仓库，不能当作多租户隔离。,README L10–19、31–68、190：多人会话、GitHub App 和访问边界。,https://raw.githubusercontent.com/ColeMurray/background-agents/HEAD/README.md,ffc32ccd0dd1bf5eb2d9f2e4b76a71665c8f452af6bd82564c64fb6979c60341,,
2591,pasky/chrome-cdp-skill,https://github.com/pasky/chrome-cdp-skill,3263,范围不优先：个人工具,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
2592,edison7009/EchoBird,https://github.com/edison7009/EchoBird,3262,范围不优先：个人工具,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
2593,open-policy-agent/conftest,https://github.com/open-policy-agent/conftest,3262,范围不优先：通用软件,主要为通用软件或基础设施，AI检索命中未体现足够具体的团队AI工作场景。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
2594,Tinche/aiofiles,https://github.com/Tinche/aiofiles,3261,范围不优先：通用软件,主要为通用软件或基础设施，AI检索命中未体现足够具体的团队AI工作场景。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
2595,Alpha-Dojo/DojoAgents,https://github.com/Alpha-Dojo/DojoAgents,3260,范围不优先：垂直领域,主要聚焦特定领域的模型、研究或个人应用；本轮未扩展该专业领域分类。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
2596,deepdoctection/deepdoctection,https://github.com/deepdoctection/deepdoctection,3260,范围不优先：通用软件,主要为通用软件或基础设施，AI检索命中未体现足够具体的团队AI工作场景。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
2597,itsOwen/CyberScraper-2077,https://github.com/itsOwen/CyberScraper-2077,3260,范围不优先：个人工具,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
2598,MAIF/shapash,https://github.com/MAIF/shapash,3257,范围不优先：研究训练,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
2599,op7418/NanoBanana-PPT-Skills,https://github.com/op7418/NanoBanana-PPT-Skills,3257,范围不优先：个人工具,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
2600,AprilNEA/AChat,https://github.com/AprilNEA/AChat,3256,待README核验,明确企业团队与远程同步，优先核验实际多人机制。,逐项阅读缓存的仓库名称与完整简介,candidate,官方 README 定位、功能和边界段落；全文另存，未安装实测,2026-09-21T14:41:02.980424+00:00,False,团队集中整理 AI 对话、成员角色、权限和使用成本。,仅 README 能力声明，未核验同步冲突、权限粒度和部署成熟度。,README L6、34–45：企业团队定位与明确功能。,https://raw.githubusercontent.com/AprilNEA/AChat/HEAD/README.md,419463f6d8fba3e831eb926c8d6477a05200b291726f3e8c8d0014f77246e8a9,,
2601,dimthink/PriceAI,https://github.com/dimthink/PriceAI,3256,范围不优先：个人工具,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
2602,KouriChat/KouriChat,https://github.com/KouriChat/KouriChat,3254,范围不优先：个人工具,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
2603,lakesoul-io/LakeSoul,https://github.com/lakesoul-io/LakeSoul,3253,范围不优先：通用软件,主要为通用软件或基础设施，AI检索命中未体现足够具体的团队AI工作场景。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
2604,google/ax,https://github.com/google/ax,3251,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,candidate,官方 README 定位、功能和边界段落；全文另存，未安装实测,2026-09-21T14:41:02.980427+00:00,False,平台团队统一任务资源、预装上下文、网络白名单和恢复操作。,未稳定，可能重大破坏性变更；底层隔离依赖 Agent Substrate，规模宣称未实测。,README L7–13、47–55：声明式任务及 Task/Workspace/Gateway/Model。,https://raw.githubusercontent.com/google/ax/HEAD/README.md,95d27df32ff26887224cdde472b890952b192ae1fb169f40963c3feefb679db1,,
2605,llm-as-a-verifier/llm-as-a-verifier,https://github.com/llm-as-a-verifier/llm-as-a-verifier,3251,范围不优先：研究训练,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
2606,Weikezi-AI/GoGuide,https://github.com/Weikezi-AI/GoGuide,3247,范围不优先：通用学习,主要为通用编程、基础机器学习或课程资料，简介未明确团队AI工程实践。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
2607,koderover/zadig,https://github.com/koderover/zadig,3243,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,candidate,官方 README 定位、功能和边界段落；全文另存，未安装实测,2026-09-21T14:41:02.980428+00:00,False,研发、QA 与运维共用环境和模板，把 AI 检查与发布审批接入交付流程。,根文档未细分所有版本功能；风险评估不替代发布验证。,README L39–41、56、65–85：AI 能力、共享环境和审批。,https://raw.githubusercontent.com/koderover/zadig/HEAD/README.md,cbad022e783ae6ea7db2ca6642e16616a255319da7c3d2fd5e7e948d219df7ce,,
2608,plannotator/effective-html,https://github.com/plannotator/effective-html,3242,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,candidate,官方 README 定位、功能和边界段落；全文另存，未安装实测,2026-09-21T14:41:02.980430+00:00,False,团队用可查看、可标注的 HTML 解释计划与改动，便于跨角色评审。,技能资料集，标注使用 Plannotator；不是独立多人协作服务。,README L9–21、31、34–44：产物、参考模式和计划技能。,https://raw.githubusercontent.com/plannotator/effective-html/HEAD/README.md,2e6c18b97b41cb8aaf81d6ab1ab269d35be3f934d7c8b6c10a399f67f25c707c,,
2609,determined-ai/determined,https://github.com/determined-ai/determined,3239,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,candidate,官方 README 定位、功能和边界段落；全文另存，未安装实测,2026-09-21T14:41:02.980431+00:00,False,ML 团队共享训练资源和实验记录，复现模型迭代。,平台需要适配训练代码，未核验企业版治理差异。,README L3–10、20–26：训练、调参、资源和追踪。,https://raw.githubusercontent.com/determined-ai/determined/HEAD/README.md,128f5808f12818a1919e70ad8f42398d2ffdfb8ddd61256c1507bda4c780d5d3,,
2610,oslook/cursor-ai-downloads,https://github.com/oslook/cursor-ai-downloads,3237,范围不优先：通用软件,主要为通用软件或基础设施，AI检索命中未体现足够具体的团队AI工作场景。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
2611,zmister2016/MrDoc,https://github.com/zmister2016/MrDoc,3236,待README核验,明确个人和小团队AI知识库，核验AI入口与共同维护能力。,逐项阅读缓存的仓库名称与完整简介,candidate,官方 README 定位、功能和边界段落；全文另存，未安装实测,2026-09-21T14:41:02.980432+00:00,False,小团队按项目分配协作权限，集中维护文档并用 AI 辅助写作。,本次核验根文档，未确认各版 AI 能力和商业授权范围。,README L38、61、68、70–72：团队文档、权限、AI 对话与写作。,https://raw.githubusercontent.com/zmister2016/MrDoc/HEAD/README.md,fbbf8c2065e496057a93df1356270769283cf1ba525f754a4058ba7ee3f4702c,,
2612,xpf0000/FlyEnv,https://github.com/xpf0000/FlyEnv,3234,范围不优先：个人工具,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
2613,seungeunrho/minimalRL,https://github.com/seungeunrho/minimalRL,3231,范围不优先：研究训练,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
2614,gcui-art/suno-api,https://github.com/gcui-art/suno-api,3224,范围不优先：个人工具,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
2615,tirthajyoti/Data-science-best-resources,https://github.com/tirthajyoti/Data-science-best-resources,3224,范围不优先：通用学习,主要为通用编程、基础机器学习或课程资料，简介未明确团队AI工程实践。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
