id,repository,url,stars_snapshot,metadata_decision,source_status,review_stage,final_status,description_en,team_reason,limits_and_notes,tested
2549,giancarloerra/SocratiCode,https://github.com/giancarloerra/SocratiCode,3314,待README核验,candidate,team-second-pass,工程组件另列,"Provide code search, dependency graphs, and reusable agent context.",研发团队复用代码与基础设施索引，辅助影响分析和跨代理交接。,研发团队复用代码与基础设施索引，辅助影响分析和跨代理交接。 共享团队云索引/SSO/审计为 private beta；本地多代理索引不等于多人权限。,False
2550,johnbean393/Sidekick,https://github.com/johnbean393/Sidekick,3314,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
2551,X-D-Lab/LangChain-ChatGLM-Webui,https://github.com/X-D-Lab/LangChain-ChatGLM-Webui,3309,需去重核验,secondary,,secondary,,,可能是已有项目的改名、组件、镜像或衍生入口，需核对后避免重复收录。,False
2552,Meirtz/Awesome-Context-Engineering,https://github.com/Meirtz/Awesome-Context-Engineering,3308,待README核验,secondary,,secondary,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
2553,vladmandic/human,https://github.com/vladmandic/human,3308,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
2554,dangkhoasdc/awesome-ai-residency,https://github.com/dangkhoasdc/awesome-ai-residency,3306,范围不优先：通用学习,metadata-only,,metadata-only,,,主要为通用编程、基础机器学习或课程资料，简介未明确团队AI工程实践。,False
2555,resemble-ai/Resemblyzer,https://github.com/resemble-ai/Resemblyzer,3305,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
2556,stellar/stellar-core,https://github.com/stellar/stellar-core,3302,范围不优先：通用软件,metadata-only,,metadata-only,,,主要为通用软件或基础设施，AI检索命中未体现足够具体的团队AI工作场景。,False
2557,Weikezi-AI/CNote,https://github.com/Weikezi-AI/CNote,3302,范围不优先：通用学习,metadata-only,,metadata-only,,,主要为通用编程、基础机器学习或课程资料，简介未明确团队AI工程实践。,False
2558,lxf746/any-auto-register,https://github.com/lxf746/any-auto-register,3301,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
2559,tradytics/eiten,https://github.com/tradytics/eiten,3300,范围不优先：垂直领域,metadata-only,,metadata-only,,,主要聚焦特定领域的模型、研究或个人应用；本轮未扩展该专业领域分类。,False
2560,langchain-ai/langgraphjs,https://github.com/langchain-ai/langgraphjs,3299,需去重核验,candidate,team-second-pass,工程组件另列,Build stateful JavaScript agents with durable execution and human checkpoints.,JS 团队统一持久流程、记忆与人工状态检查，降低复杂代理交付成本。,JS 团队统一持久流程、记忆与人工状态检查，降低复杂代理交付成本。 LangSmith 观察和部署属独立平台，不全算开源库自带。,False
2561,root-project/root,https://github.com/root-project/root,3297,范围不优先：通用软件,metadata-only,,metadata-only,,,主要为通用软件或基础设施，AI检索命中未体现足够具体的团队AI工作场景。,False
2562,superlinked/sie,https://github.com/superlinked/sie,3295,待README核验,candidate,team-second-pass,工程组件另列,Serve multiple agent models from a shared inference cluster.,平台团队统一检索、生成等模型接口，按需加载并通过 Kubernetes 扩展。,平台团队统一检索、生成等模型接口，按需加载并通过 Kubernetes 扩展。 推理基础设施；具体模型授权与性能需分别验证。,False
2563,lucidrains/musiclm-pytorch,https://github.com/lucidrains/musiclm-pytorch,3294,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
2564,mljar/mljar-supervised,https://github.com/mljar/mljar-supervised,3294,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
2565,rag-web-ui/rag-web-ui,https://github.com/rag-web-ui/rag-web-ui,3292,待README核验,secondary,,secondary,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
2566,Anil-matcha/awesome-generative-ai-apps,https://github.com/Anil-matcha/awesome-generative-ai-apps,3291,待README核验,secondary,,secondary,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
2567,haydenbleasel/ultracite,https://github.com/haydenbleasel/ultracite,3291,范围不优先：通用软件,metadata-only,,metadata-only,,,主要为通用软件或基础设施，AI检索命中未体现足够具体的团队AI工作场景。,False
2568,samber/cc-skills-golang,https://github.com/samber/cc-skills-golang,3288,待README核验,candidate,team-second-pass,方法技能另列,"Go-focused skills for testing, security, and maintainable code.",Go 团队复用语言实践，并用显式公司技能覆盖默认规范。,Go 团队复用语言实践，并用显式公司技能覆盖默认规范。 Git/CI/PR 流程技能需另外插件，未逐条验证规则效果。,False
2569,wendy7756/AI-Video-Transcriber,https://github.com/wendy7756/AI-Video-Transcriber,3287,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
2570,yunlong10/Awesome-LLMs-for-Video-Understanding,https://github.com/yunlong10/Awesome-LLMs-for-Video-Understanding,3285,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
2571,google-deepmind/dm-haiku,https://github.com/google-deepmind/dm-haiku,3284,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
2572,miqdadbadjuber/anti-slop,https://github.com/miqdadbadjuber/anti-slop,3284,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
2573,teddylee777/machine-learning,https://github.com/teddylee777/machine-learning,3284,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
2574,bitbrain/beehave,https://github.com/bitbrain/beehave,3281,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
2575,neomjs/neo,https://github.com/neomjs/neo,3281,待README核验,secondary,,secondary,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
2576,sentrux/sentrux,https://github.com/sentrux/sentrux,3281,待README核验,candidate,team-second-pass,团队直接性不足,Expose structural code-health feedback to developers and agents.,团队可把结构检查和规则反馈接入代理改码过程，辅助统一质量门槛。,团队可把结构检查和规则反馈接入代理改码过程，辅助统一质量门槛。 静态分数不证明软件正确；自改进效果未实测。,False
2577,nexu-io/nexu,https://github.com/nexu-io/nexu,3280,待README核验,secondary,,secondary,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
2578,noahshinn/reflexion,https://github.com/noahshinn/reflexion,3279,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
2579,NVIDIA/physicsnemo,https://github.com/NVIDIA/physicsnemo,3275,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
2580,agent-of-empires/agent-of-empires,https://github.com/agent-of-empires/agent-of-empires,3274,待README核验,secondary,,secondary,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
2581,cool-team-official/cool-admin-midway,https://github.com/cool-team-official/cool-admin-midway,3273,待README核验,candidate,team-second-pass,工程组件另列,"A backend framework with AI coding, workflow orchestration, and tenancy support.",业务开发团队复用权限后台与多租户结构，构建 AI 客服等内部流程。,业务开发团队复用权限后台与多租户结构，构建 AI 客服等内部流程。 后台框架与前端另仓，生成及隔离效果未实测。,False
2582,TestSprite/testsprite-cli,https://github.com/TestSprite/testsprite-cli,3273,待README核验,secondary,,secondary,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
2583,lmnr-ai/lmnr,https://github.com/lmnr-ai/lmnr,3272,待README核验,candidate,team-second-pass,建议审阅,"Trace agents, evaluate changes, and track failure signals.",研发与运维团队共用轨迹、评估集和仪表盘，通过 Slack 接收异常行为线索。,研发与运维团队共用轨迹、评估集和仪表盘，通过 Slack 接收异常行为线索。 行为检测需定义与验证；第三方集成不等于本仓提供那些工具本体。,False
2584,Snailclimb/interview-guide,https://github.com/Snailclimb/interview-guide,3271,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
2585,graykode/nlp-roadmap,https://github.com/graykode/nlp-roadmap,3267,范围不优先：通用学习,metadata-only,,metadata-only,,,主要为通用编程、基础机器学习或课程资料，简介未明确团队AI工程实践。,False
2586,openclaw/acpx,https://github.com/openclaw/acpx,3267,需去重核验,candidate,team-second-pass,工程组件另列,A headless ACP client for persistent sessions and structured agent automation.,工具团队用同一接口连接不同编码代理，管理会话、权限与机器可读输出。,工具团队用同一接口连接不同编码代理，管理会话、权限与机器可读输出。 pre-1.0 接口可能变化；shared runtime 是本地会话共享而非真人多租户。,False
2587,punkpeye/fastmcp,https://github.com/punkpeye/fastmcp,3267,待README核验,secondary,,secondary,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
2588,rsxdalv/TTS-WebUI,https://github.com/rsxdalv/TTS-WebUI,3267,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
2589,aandrew-me/tgpt,https://github.com/aandrew-me/tgpt,3263,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
2590,ColeMurray/background-agents,https://github.com/ColeMurray/background-agents,3263,待README核验,candidate,team-second-pass,建议审阅,A background coding system with multiplayer sessions and workplace integrations.,同事可在同一会话协作，通过 Slack、工单和 PR 交接任务并保留提交归属。,同事可在同一会话协作，通过 Slack、工单和 PR 交接任务并保留提交归属。 仅限受信任的单组织部署；不校验每位用户的仓库权限，可访问共享 GitHub App 已授权的仓库，不能当作多租户隔离。,False
2591,pasky/chrome-cdp-skill,https://github.com/pasky/chrome-cdp-skill,3263,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
2592,edison7009/EchoBird,https://github.com/edison7009/EchoBird,3262,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
2593,open-policy-agent/conftest,https://github.com/open-policy-agent/conftest,3262,范围不优先：通用软件,metadata-only,,metadata-only,,,主要为通用软件或基础设施，AI检索命中未体现足够具体的团队AI工作场景。,False
2594,Tinche/aiofiles,https://github.com/Tinche/aiofiles,3261,范围不优先：通用软件,metadata-only,,metadata-only,,,主要为通用软件或基础设施，AI检索命中未体现足够具体的团队AI工作场景。,False
2595,Alpha-Dojo/DojoAgents,https://github.com/Alpha-Dojo/DojoAgents,3260,范围不优先：垂直领域,metadata-only,,metadata-only,,,主要聚焦特定领域的模型、研究或个人应用；本轮未扩展该专业领域分类。,False
2596,deepdoctection/deepdoctection,https://github.com/deepdoctection/deepdoctection,3260,范围不优先：通用软件,metadata-only,,metadata-only,,,主要为通用软件或基础设施，AI检索命中未体现足够具体的团队AI工作场景。,False
2597,itsOwen/CyberScraper-2077,https://github.com/itsOwen/CyberScraper-2077,3260,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
2598,MAIF/shapash,https://github.com/MAIF/shapash,3257,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
2599,op7418/NanoBanana-PPT-Skills,https://github.com/op7418/NanoBanana-PPT-Skills,3257,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
2600,AprilNEA/AChat,https://github.com/AprilNEA/AChat,3256,待README核验,candidate,deep-pass-001,保留待深核,A self-hosted AI conversation platform designed for teams.,团队集中整理 AI 对话、成员角色、权限和使用成本。,团队集中整理 AI 对话、成员角色、权限和使用成本。 仅 README 能力声明，未核验同步冲突、权限粒度和部署成熟度。,False
2601,dimthink/PriceAI,https://github.com/dimthink/PriceAI,3256,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
2602,KouriChat/KouriChat,https://github.com/KouriChat/KouriChat,3254,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
2603,lakesoul-io/LakeSoul,https://github.com/lakesoul-io/LakeSoul,3253,范围不优先：通用软件,metadata-only,,metadata-only,,,主要为通用软件或基础设施，AI检索命中未体现足够具体的团队AI工作场景。,False
2604,google/ax,https://github.com/google/ax,3251,待README核验,candidate,team-second-pass,工程组件另列,Declare and orchestrate sandboxed agent tasks and workspaces.,平台团队统一任务资源、预装上下文、网络白名单和恢复操作。,平台团队统一任务资源、预装上下文、网络白名单和恢复操作。 未稳定，可能重大破坏性变更；底层隔离依赖 Agent Substrate，规模宣称未实测。,False
2605,llm-as-a-verifier/llm-as-a-verifier,https://github.com/llm-as-a-verifier/llm-as-a-verifier,3251,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
2606,Weikezi-AI/GoGuide,https://github.com/Weikezi-AI/GoGuide,3247,范围不优先：通用学习,metadata-only,,metadata-only,,,主要为通用编程、基础机器学习或课程资料，简介未明确团队AI工程实践。,False
2607,koderover/zadig,https://github.com/koderover/zadig,3243,待README核验,candidate,deep-pass-001,工程组件另列,"A DevOps platform with AI-assisted review, release analysis, and workflows.",研发、QA 与运维共用环境和模板，把 AI 检查与发布审批接入交付流程。,研发、QA 与运维共用环境和模板，把 AI 检查与发布审批接入交付流程。 根文档未细分所有版本功能；风险评估不替代发布验证。,False
2608,plannotator/effective-html,https://github.com/plannotator/effective-html,3242,待README核验,candidate,team-second-pass,方法技能另列,Skills for self-contained visual plans and interactive prototypes.,团队用可查看、可标注的 HTML 解释计划与改动，便于跨角色评审。,团队用可查看、可标注的 HTML 解释计划与改动，便于跨角色评审。 技能资料集，标注使用 Plannotator；不是独立多人协作服务。,False
2609,determined-ai/determined,https://github.com/determined-ai/determined,3239,待README核验,candidate,team-second-pass,工程组件另列,"Coordinate deep-learning training, experiments, and compute resources.",ML 团队共享训练资源和实验记录，复现模型迭代。,ML 团队共享训练资源和实验记录，复现模型迭代。 平台需要适配训练代码，未核验企业版治理差异。,False
2610,oslook/cursor-ai-downloads,https://github.com/oslook/cursor-ai-downloads,3237,范围不优先：通用软件,metadata-only,,metadata-only,,,主要为通用软件或基础设施，AI检索命中未体现足够具体的团队AI工作场景。,False
2611,zmister2016/MrDoc,https://github.com/zmister2016/MrDoc,3236,待README核验,candidate,deep-pass-001,保留待深核,A self-hosted document workspace with AI-assisted writing.,小团队按项目分配协作权限，集中维护文档并用 AI 辅助写作。,小团队按项目分配协作权限，集中维护文档并用 AI 辅助写作。 本次核验根文档，未确认各版 AI 能力和商业授权范围。,False
2612,xpf0000/FlyEnv,https://github.com/xpf0000/FlyEnv,3234,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
2613,seungeunrho/minimalRL,https://github.com/seungeunrho/minimalRL,3231,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
2614,gcui-art/suno-api,https://github.com/gcui-art/suno-api,3224,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
2615,tirthajyoti/Data-science-best-resources,https://github.com/tirthajyoti/Data-science-best-resources,3224,范围不优先：通用学习,metadata-only,,metadata-only,,,主要为通用编程、基础机器学习或课程资料，简介未明确团队AI工程实践。,False
2616,liaohch3/claude-tap,https://github.com/liaohch3/claude-tap,3223,待README核验,candidate,team-second-pass,团队直接性不足,Inspect agent API traces and export portable session reports.,工程团队用请求差异和工具记录定位代理行为，并共享 HTML 证据。,工程团队用请求差异和工具记录定位代理行为，并共享 HTML 证据。 记录可能包含提示及业务上下文；非组织权限平台，未执行抓取。,False
2617,Mayandev/notion-avatar,https://github.com/Mayandev/notion-avatar,3223,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
2618,MemMachine/MemMachine,https://github.com/MemMachine/MemMachine,3222,待README核验,secondary,,secondary,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
2619,openvinotoolkit/openvino_notebooks,https://github.com/openvinotoolkit/openvino_notebooks,3220,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
2620,signerlabs/ShipSwift,https://github.com/signerlabs/ShipSwift,3220,范围不优先：通用软件,metadata-only,,metadata-only,,,主要为通用软件或基础设施，AI检索命中未体现足够具体的团队AI工作场景。,False
2621,openocta/openocta,https://github.com/openocta/openocta,3218,待README核验,candidate,team-second-pass,工程组件另列,"A desktop operations agent connecting monitoring, data, and remediation tools.",运维团队可复用技能和消息工单集成，统一巡检与告警分析。,运维团队可复用技能和消息工单集成，统一巡检与告警分析。 桌面客户端和企业 AMC 分开；本地存储不代表所有远端工具及模型不出网。,False
2622,av/harbor,https://github.com/av/harbor,3217,待README核验,secondary,,secondary,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
2623,Josh-XT/AGiXT,https://github.com/Josh-XT/AGiXT,3216,待README核验,candidate,deep-pass-001,工程组件另列,An AI automation platform with integrations and multi-tenant support.,团队统一业务工具和模型接入，组合服务执行工作流。,团队统一业务工具和模型接入，组合服务执行工作流。 根文档概述，未核验合规宣称或细粒度企业功能。,False
2624,bradygaster/squad,https://github.com/bradygaster/squad,3215,待README核验,candidate,team-second-pass,方法技能另列,Human-led agent workflows with repository-based decisions and task handoffs.,工程团队把代理角色和决策保留在仓库，通过 issue 分流、人审和升级机制协作。,工程团队把代理角色和决策保留在仓库，通过 issue 分流、人审和升级机制协作。 主要人领导代理，不等同多人身份平台；预览 SDK 独立成熟度。,False
2625,mnemosyne-oss/mnemosyne,https://github.com/mnemosyne-oss/mnemosyne,3213,待README核验,candidate,team-second-pass,工程组件另列,A local memory layer with incremental synchronization and event history.,团队可在实例间同步记忆、交接上下文并保留变更事件。,团队可在实例间同步记忆、交接上下文并保留变更事件。 同步不自动证明访问隔离和冲突一致性；不是独立多租户平台。,False
2626,cirosantilli/china-dictatorship,https://github.com/cirosantilli/china-dictatorship,3212,范围不优先：通用软件,metadata-only,,metadata-only,,,政治与新闻资料集合，非团队AI工具或工程实践；已阅读可辨识简介节选，原文超长另存档。,False
2627,JoePenna/Dreambooth-Stable-Diffusion,https://github.com/JoePenna/Dreambooth-Stable-Diffusion,3212,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
2628,SilasMarvin/lsp-ai,https://github.com/SilasMarvin/lsp-ai,3211,待README核验,secondary,,secondary,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
2629,OpenGVLab/InternGPT,https://github.com/OpenGVLab/InternGPT,3206,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
2630,Simple-XX/SimpleKernel,https://github.com/Simple-XX/SimpleKernel,3205,范围不优先：通用学习,metadata-only,,metadata-only,,,主要为通用编程、基础机器学习或课程资料，简介未明确团队AI工程实践。,False
2631,taylorwilsdon/google_workspace_mcp,https://github.com/taylorwilsdon/google_workspace_mcp,3198,待README核验,candidate,team-second-pass,工程组件另列,Connect AI assistants to Workspace services with multi-user authentication.,团队集中接入文档、表格、邮件和日历，按用户 OAuth 与工具权限调用。,团队集中接入文档、表格、邮件和日历，按用户 OAuth 与工具权限调用。 社区项目非 Google 官方；集中部署仍需自行配置 OAuth 与应用授权。,False
2632,ARM-software/ComputeLibrary,https://github.com/ARM-software/ComputeLibrary,3192,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
2633,phlippe/uvadlc_notebooks,https://github.com/phlippe/uvadlc_notebooks,3192,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
2634,liyown/ai-trend-publish,https://github.com/liyown/ai-trend-publish,3189,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
2635,mayneyao/eidos,https://github.com/mayneyao/eidos,3188,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
2636,stepfun-ai/Step-Video-T2V,https://github.com/stepfun-ai/Step-Video-T2V,3186,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
2637,Djdefrag/QualityScaler,https://github.com/Djdefrag/QualityScaler,3185,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
2638,MiniMax-AI/MiniMax-M1,https://github.com/MiniMax-AI/MiniMax-M1,3185,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
2639,google-agentic-commerce/AP2,https://github.com/google-agentic-commerce/AP2,3183,待README核验,secondary,,secondary,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
2640,Hugo-Dz/spritefusion-pixel-snapper,https://github.com/Hugo-Dz/spritefusion-pixel-snapper,3183,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
2641,NVIDIA-NeMo/Switchyard,https://github.com/NVIDIA-NeMo/Switchyard,3183,待README核验,secondary,,secondary,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
2642,jmiao24/Paper2Agent,https://github.com/jmiao24/Paper2Agent,3182,待README核验,candidate,team-second-pass,方法技能另列,Turn research papers and code into reusable MCP tools and skills.,研究团队把论文方法封装成可交接工具，降低同事重复搭建成本。,研究团队把论文方法封装成可交接工具，降低同事重复搭建成本。 自动生成可靠性需复核，原论文和代码授权分别适用。,False
2643,louisfb01/best_AI_papers_2022,https://github.com/louisfb01/best_AI_papers_2022,3182,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
2644,arnegiacomo/fugleramme,https://github.com/arnegiacomo/fugleramme,3181,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
2645,smartloli/EFAK,https://github.com/smartloli/EFAK,3181,待README核验,candidate,team-second-pass,团队直接性不足,Monitor Kafka and investigate cluster data with an AI assistant.,运维团队共用实时指标和自然语言诊断，交接性能与消费延迟分析。,运维团队共用实时指标和自然语言诊断，交接性能与消费延迟分析。 建议不等于已验证修复；未核验多人权限粒度。,False
2646,tslearn-team/tslearn,https://github.com/tslearn-team/tslearn,3179,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
2647,google-labs-code/jules-awesome-list,https://github.com/google-labs-code/jules-awesome-list,3178,待README核验,secondary,,secondary,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
2648,kzbkzb/Python-AI,https://github.com/kzbkzb/Python-AI,3178,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
2649,punitarani/fli,https://github.com/punitarani/fli,3177,范围不优先：垂直领域,metadata-only,,metadata-only,,,主要聚焦特定领域的模型、研究或个人应用；本轮未扩展该专业领域分类。,False
2650,tkarim45/Beginner-Data-Science-Projects,https://github.com/tkarim45/Beginner-Data-Science-Projects,3177,范围不优先：通用学习,metadata-only,,metadata-only,,,主要为通用编程、基础机器学习或课程资料，简介未明确团队AI工程实践。,False
2651,adambielski/siamese-triplet,https://github.com/adambielski/siamese-triplet,3175,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
2652,tekaratzas/RustGPT,https://github.com/tekaratzas/RustGPT,3173,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
2653,dosco/graphjin,https://github.com/dosco/graphjin,3172,待README核验,candidate,team-second-pass,工程组件另列,Expose governed data and workflow access to agents through GraphQL and MCP.,团队统一业务系统查询、调用者权限、可追踪动作及持续问题监测。,团队统一业务系统查询、调用者权限、可追踪动作及持续问题监测。 GraphQL 联邦 _entities 仍计划中；治理效果未实测，非所有配置默认只读。,False
2654,langchain-ai/agent-chat-ui,https://github.com/langchain-ai/agent-chat-ui,3172,需去重核验,secondary,,secondary,,,可能是已有项目的改名、组件、镜像或衍生入口，需核对后避免重复收录。,False
2655,SkyworkAI/Skywork-R1V,https://github.com/SkyworkAI/Skywork-R1V,3171,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
2656,stemrollerapp/stemroller,https://github.com/stemrollerapp/stemroller,3171,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
2657,blazickjp/arxiv-mcp-server,https://github.com/blazickjp/arxiv-mcp-server,3168,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
2658,EvoMap/AutoResearch,https://github.com/EvoMap/AutoResearch,3166,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
2659,rob-med/awesome-TS-anomaly-detection,https://github.com/rob-med/awesome-TS-anomaly-detection,3165,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
2660,TurixAI/TuriX-CUA,https://github.com/TurixAI/TuriX-CUA,3165,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
2661,cosmicstack-labs/mercury-agent,https://github.com/cosmicstack-labs/mercury-agent,3164,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
