rank,id,repository,name,url,decision,decision_reason,description_en,team_reason,tags,limitations,source_evidence,stars_snapshot,live_checked_at,live_stars,live_archived,live_pushed_at,root_license,readme_url,readme_sha256,license_url,license_sha256,tested
108,32,Graphify-Labs/graphify,Graphify,https://github.com/Graphify-Labs/graphify,保留待深核,存在团队使用证据；本批未补查当前维护及许可全貌，保留下一轮重点核验。,A project knowledge graph that teams can version in Git and query through a shared MCP endpoint.,代码与文档地图可提交 Git 共享，或用一个 HTTP MCP 服务供全队查询，帮助理解依赖和交接上下文。,"knowledge, coding, mcp",代码 AST 本地处理；文档多模态分析可能调用模型；持续跨会议资料处理属于独立 Enterprise 层。,README L30-34、L447-461、L499-508、L852-856,119911,,,,,,,,,,False
109,306,nanocoai/nanoclaw,NanoClaw,https://github.com/nanocoai/nanoclaw,保留待深核,存在团队使用证据；本批未补查当前维护及许可全貌，保留下一轮重点核验。,"Containerized agents that participate in team messaging with distinct identities, memory, and shared rooms.",Slack 中每个智能体有独立身份、容器和记忆，在共享房间与画布协作，并通过网关控制凭据。,"agents, collaboration, self-hosted",隔离和渠道需配置；依赖 OneCLI 等组件，不背书绝对安全或竞品比较。,README L23-26、L91-92、L223,30808,,,,,,,,,,False
110,385,onlook-dev/onlook,Onlook,https://github.com/onlook-dev/onlook,团队直接性不足,当前证据主要支持个人使用、产物交接或代理编排，暂不优先；不是判定没有团队价值。,"A visual, AI-assisted editor for designing directly on application code and sharing working previews.",设计与研发围绕真实组件、品牌 token 和可分享预览交接，实现设计到代码的反馈。,"ai-native, design, handoff",early access；团队协作总项和评论仍未勾选，不宣传完整多人协作；非 Next.js 支持仍规划中。,README 功能表 L66-99,26772,,,,,,,,,,False
111,519,every-app/open-seo,OpenSEO,https://github.com/every-app/open-seo,保留待深核,存在团队使用证据；本批未补查当前维护及许可全貌，保留下一轮重点核验。,A self-hostable SEO workspace with MCP access and reusable agent workflows.,营销团队可共享站点研究与 SEO 工作入口，让 AI 调用已有数据服务完成分析。,"marketing, analytics, mcp",依赖 DataForSEO key；未核验细粒度成员权限，托管订阅与自带 API 成本分开。,README AI skills、Main SEO Workflows、self-hosting L51,19725,,,,,,,,,,False
112,649,treeverse/dvc,DVC,https://github.com/treeverse/dvc,工程组件另列,团队价值主要通过工程集成实现，适合基础设施或开发组件栏目，不作为即用协作产品优先推荐。,"Git-based data, model, pipeline, and experiment versioning for reproducible ML work.",团队共享实验版本、数据与参数，通过 Git 与远程存储复现同事结果，支撑评审交接。,"data, mlops, reproducibility",CLI 与扩展有不同功能边界；不是托管多人实验平台，需配置数据存储。,README Introduction L20-32、collaboration L77,15877,,,,,,,,,,False
113,1324,lintsinghua/DeepAudit,DeepAudit,https://github.com/lintsinghua/DeepAudit,保留待深核,存在团队使用证据；本批未补查当前维护及许可全貌，保留下一轮重点核验。,An agent-based code auditing platform with sandbox verification.,安全团队集中导入项目、检查审计日志并交接报告。,"security, code-review",列举的主要 CVE 成果标为闭源版本，不能归给开源版。,README L68–81、170–177：项目管理、沙箱验证及报告。,7056,,,,,,,,,,False
114,1340,AIPentest/CyberStrikeAI,CyberStrikeAI,https://github.com/AIPentest/CyberStrikeAI,保留待深核,存在团队使用证据；本批未补查当前维护及许可全貌，保留下一轮重点核验。,"An AI security workspace with approvals, roles, and retained evidence.",安全团队管理授权测试任务、角色、人工审批与审计证据。,"ai-native, security, teams",仅核验文档所述能力，未验证权限隔离与检测效果。,README L12、126–131：工作区、RBAC、审批和日志。,6962,,,,,,,,,,False
115,1636,OpenBMB/UltraRAG,UltraRAG,https://github.com/OpenBMB/UltraRAG,工程组件另列,团队价值主要通过工程集成实现，适合基础设施或开发组件栏目，不作为即用协作产品优先推荐。,Build and debug RAG pipelines with MCP components and visual orchestration.,团队共享 YAML 管道、提示和依赖锁文件，协作调试知识应用。,"rag, development",定位研究探索和工业原型，不等于成品多人知识系统。,README About、UI、L157：MCP 组件、画布代码同步及团队环境。,5702,,,,,,,,,,False
116,2255,yvgude/lean-ctx,LeanCTX,https://github.com/yvgude/lean-ctx,团队直接性不足,当前证据主要支持个人使用、产物交接或代理编排，暂不优先；不是判定没有团队价值。,"Manage agent context with shared indexing, handoffs, and measured usage.",团队可共享代码索引并在 CI 使用可核验上下文门槛，交接代理记忆。,"context, engineering",统一图、Context as Code 和完整多代理治理仍属愿景，不能混为已交付。,README L16–22、202、451–459：上下文、共享服务与 scoped tokens。,3819,,,,,,,,,,False
117,2463,AminBlg/SimpleEnglish,SimpleEnglish,https://github.com/AminBlg/SimpleEnglish,方法技能另列,团队价值主要是复用规则、技能或学习材料，适合实践栏目，暂不进入协作产品短名单。,"A writing skill for clear, consistent technical English.",团队共享简明英语规则，让技术说明、交接与用户文档更易读。,"skills, writing",规则遵从不等于读者理解；不当作 ASD-STE100 合规认证。,README L6–8、24、34、107：技能、输出模式和评估边界。,3449,,,,,,,,,,False
118,3140,ScrapeCreators/social-media-research-skills,Social Media Research Skills,https://github.com/ScrapeCreators/social-media-research-skills,方法技能另列,团队价值主要是复用规则、技能或学习材料，适合实践栏目，暂不进入协作产品短名单。,Turn public social content into structured research artifacts.,营销团队复用评论分析、竞品和广告研究流程，形成带依据的共享简报。,"skills, marketing",需 ScrapeCreators API，技能开源不等于底层数据服务免费。,完整 README L3–7、19–35：技能与输出物。,2580,,,,,,,,,,False
119,3219,samugit83/redamon,RedAmon,https://github.com/samugit83/redamon,保留待深核,存在团队使用证据；本批未补查当前维护及许可全貌，保留下一轮重点核验。,"Connect security findings to triage, code fixes, and reviewable pull requests.",安全与研发以共享发现图和修复 PR 交接问题，保留关键人工检查。,"security, engineering",限授权测试；基准、企业隔离和修复质量未复现，自动步骤仍须人工审核。,README L9、64–83、447：测试到修复的链路。,2494,,,,,,,,,,False
120,3577,proma-ai/Proma,Proma,https://github.com/proma-ai/Proma,商业或许可边界待核,保留候选；先厘清团队能力的版本、服务与授权边界，再决定推荐写法。,A desktop agent workspace with commercial team distribution options.,团队版管理员可分配共享额度、查看用量并下发统一技能版本。,"workspace, teams",组织技能和额度管理属于商业版，开源版需自建且迭代放缓。,README L61、67–79、131：开源/商业分工。,2195,,,,,,,,,,False
121,3644,Dicklesworthstone/mcp_agent_mail,MCP Agent Mail,https://github.com/Dicklesworthstone/mcp_agent_mail,工程组件另列,团队价值主要通过工程集成实现，适合基础设施或开发组件栏目，不作为即用协作产品优先推荐。,Coordinate coding agents with searchable messages and file reservations.,工程团队追踪代理间决策和交接，通过 Git 留存可审计材料。,"engineering, coordination",文件预留是 advisory，不是强制文件锁；不是真人邮件服务。,README L7–27、158、174–175：HTTP 服务、消息和 leases。,2150,,,,,,,,,,False
122,4391,relaticle/relaticle,Relaticle,https://github.com/relaticle/relaticle,建议审阅,团队功能明确；已补查官方仓库状态、README 与根许可证，进入用户审阅短名单。,"A self-hosted CRM with MCP tools, custom fields, and isolated workspaces.",销售和业务团队可共享 CRM 数据，并按工作空间限制代理访问。,"ai-native, crm, mcp, collaboration",AGPL；五层授权和生产级为文档声明，未实测。,README workspace-scoped 授权、CRM 工具、活动历史和管道分析。,1693,2026-09-21T16:15:13.273643+00:00,1694,False,2026-09-21T15:36:33Z,AGPL-3.0,https://github.com/relaticle/relaticle/blob/main/README.md,964eed8af22f736cff701c675e5a6d7d3df1491dbbc3c3998f4b3ae6fad3cb32,https://github.com/relaticle/relaticle/blob/main/LICENSE,8486a10c4393cee1c25392769ddd3b2d6c242d6ec7928e1414efff7dfb2f07ef,False
123,4898,limecloud/lime,Lime,https://github.com/limecloud/lime,团队直接性不足,当前证据主要支持个人使用、产物交接或代理编排，暂不优先；不是判定没有团队价值。,"A desktop agent workspace for coding, research, tools, and reusable skills.",团队可把检查规则和研究方法整理为共享 skills，审阅任务链。,"ai-native, desktop, automation",桌面本地为主，不证明成员同步；GPL，代理协作非真人协作。,README 团队规则技能、权限和可检查结果。,1473,,,,,,,,,,False
124,5004,feigeCode/navop,Navop,https://github.com/feigeCode/navop,商业或许可边界待核,保留候选；先厘清团队能力的版本、服务与授权边界，再决定推荐写法。,"A native operations workspace with database tools, terminals, and permission-aware MCP access.",研发运维团队可让助手复用数据库/远程操作上下文与审计。,"mcp, database, devops",Apache 附补充许可限制收费/竞争用途；本机工作台非多人权限系统。,README 本机 MCP、Safe/Confirm/Auto、工具暴露和 audit。,1431,,,,,,,,,,False
125,5107,agent0ai/space-agent,Space Agent,https://github.com/agent0ai/space-agent,保留待深核,存在团队使用证据；本批未补查当前维护及许可全貌，保留下一轮重点核验。,An extensible agent workspace with user layers and group-shared tools.,团队可在个人层构建工具，再向群组共享流程与能力。,"ai-native, collaboration, workspace",前端 runtime 可自改界面，权限隔离效果未验证；不是无限可用性保证。,README hierarchical users/groups、独立层与 real server。,1400,,,,,,,,,,False
126,5137,thalesgroup-cert/Watcher,Watcher,https://github.com/thalesgroup-cert/Watcher,保留待深核,存在团队使用证据；本批未补查当前维护及许可全貌，保留下一轮重点核验。,"A threat-intelligence platform with AI summaries, monitoring, and team access controls.",安全团队共享告警、IOC 和情报分析，并与 TheHive/MISP 协作。,"ai-assisted, security, threat-intelligence, collaboration",依赖外部源/模型；自动情报不保证完整或准确。,README AI digests、watch rules、OIDC/LDAP 和用户群组权限。,1383,,,,,,,,,,False
127,5136,mohitagw15856/pm-claude-skills,PM Skills,https://github.com/mohitagw15856/pm-claude-skills,方法技能另列,团队价值主要是复用规则、技能或学习材料，适合实践栏目，暂不进入协作产品短名单。,"A library of professional-task skills with frameworks, templates, and quality checks.",团队可共享 PRD、事后复盘与设计交接等工作模板。,"ai-native, skills, business-workflows",范围也含生活建议；专业水平和 CI gate 不保证内容正确，不能替代领域专家。,README Markdown skills、输出模板、quality checks 和多工具分发。,1383,,,,,,,,,,False
128,5144,GreenSheep01201/claw-empire,Claw Empire,https://github.com/GreenSheep01201/claw-empire,团队直接性不足,当前证据主要支持个人使用、产物交接或代理编排，暂不优先；不是判定没有团队价值。,A local agent-orchestration workspace with task boards and reviewable deliverables.,研发团队可监督代理任务、报告归档，并审批合并。,"ai-native, agent-orchestration, workflow",办公室模拟的是代理角色，非真实组织系统；worktree 不是 OS 沙箱。,README 虚拟公司、看板、report system、worktree 与 CEO approval。,1381,,,,,,,,,,False
129,5234,poco-ai/poco-claw,Poco,https://github.com/poco-ai/poco-claw,保留待深核,存在团队使用证据；本批未补查当前维护及许可全貌，保留下一轮重点核验。,"A self-hosted agent workspace with channels, trackable tasks, sandboxed execution, and shared artifacts.",在频道提及常驻智能体，将消息转为任务并查看执行进度；发布到共享文件供同事复用。,"ai-native, collaboration, agents, self-hosted",云订阅仍为 coming soon；README 内部链接出现 poco-agent 别名，最终链接待校验；未实测隔离。,README L23-27、L33-39、L51-64,1352,,,,,,,,,,False
130,5257,Team-Commonly/commonly,Commonly,https://github.com/Team-Commonly/commonly,建议审阅,团队功能明确；已补查官方仓库状态、README 与根许可证，进入用户审阅短名单。,"A shared workspace where people and agents coordinate through persistent rooms, tasks, memory, and artifacts.",人和智能体共用 pod、线程、任务板与知识；GitHub 双向任务同步、访问控制和审计记录。,"ai-native, collaboration, knowledge, self-hosted",官方注明项目早期；本地 Compose 与公共 Kubernetes 部署边界不同，未实测。,README L27-35、L239-268、L351,1345,2026-09-21T16:15:06.074573+00:00,1345,False,2026-09-20T10:05:18Z,Apache-2.0,https://github.com/Team-Commonly/commonly/blob/main/README.md,75e51de1cd72798ac4e0232886055321b9a77571c9fca362fca8ac7ed2bd35cc,https://github.com/Team-Commonly/commonly/blob/main/LICENSE,aefcbed040c6eb20116e8a2912e390921da82aac21e3744fa26ae0cd848c6401,False
131,5440,DropbaseHQ/dropbase,Dropbase,https://github.com/DropbaseHQ/dropbase,保留待深核,存在团队使用证据；本批未补查当前维护及许可全貌，保留下一轮重点核验。,An AI-assisted Python app builder for internal dashboards and operational tools.,团队可快速构建后台工具，并以可编辑代码和可分享应用目录交接。,"ai-native, internal-tools, app-builder",自托管不证明完整宽松许可；需审阅生成代码和数据连接，未部署。,README admin/billing/internal tools、拖拽组件与Python。,1285,,,,,,,,,,False
132,5651,thClaws/thClaws,thClaws,https://github.com/thClaws/thClaws,保留待深核,存在团队使用证据；本批未补查当前维护及许可全貌，保留下一轮重点核验。,A native agent workspace with local execution and enterprise policy controls.,团队可配置组织策略、模型网关与工具审计。,"ai-native, coding, governance",版本段落不一致；升级会迁移项目路径，文件工具隔离不等于shell全隔离。,README signed policy、OIDC、allow-list与bot独立目录。,1224,,,,,,,,,,False
133,5805,Oxen-AI/Oxen,Oxen,https://github.com/Oxen-AI/Oxen,工程组件另列,团队价值主要通过工程集成实现，适合基础设施或开发组件栏目，不作为即用协作产品优先推荐。,A data version-control system for large datasets and model artifacts.,ML团队通过共享server同步数据版本，支持重现实验与交接。,"data-versioning, mlops, collaboration",大规模性能未测，权限需按部署配置。,README git式CLI、server、Python/API和team sync。,1185,,,,,,,,,,False
134,5863,Ricky-7-Yan/intelligent-audit-system,AuditPilot,https://github.com/Ricky-7-Yan/intelligent-audit-system,保留待深核,存在团队使用证据；本批未补查当前维护及许可全貌，保留下一轮重点核验。,"An AI audit workspace linking evidence, human review, and remediation tasks.",审计团队统一控制模板、发现责任人及整改复核。,"ai-native, audit, collaboration, governance",单节点SQLite/RAG；bearer基线不替代企业SSO/KMS，未实测。,README evidence引用、RBAC/ABAC、项目隔离和不可变交付。,1170,,,,,,,,,,False
135,5870,henryqin1997/statem,StateM,https://github.com/henryqin1997/statem,方法技能另列,团队价值主要是复用规则、技能或学习材料，适合实践栏目，暂不进入协作产品短名单。,A CLI state machine for inspectable agent workflows and transition checks.,团队可共享runbook，把验收与交接状态留在文件。,"ai-native, workflow, verification",benchmark自述，模型判定不等同确定性证据。,README合法transition、commands/manual/LLM gates。,1168,,,,,,,,,,False
136,6087,Autumn-27/ARTEX,ARTEX,https://github.com/Autumn-27/ARTEX,保留待深核,存在团队使用证据；本批未补查当前维护及许可全貌，保留下一轮重点核验。,"An agentic security workspace with asset graphs, task traces, and approval records.",安全团队可追溯跨任务资产、发现和审批证据。,"ai-native, security, audit",AGPL；自主利用需限定授权，未执行。,README双图、任务dashboard、审批详情和report。,1110,,,,,,,,,,False
137,6133,tomasz-tomczyk/crit,Crit,https://github.com/tomasz-tomczyk/crit,保留待深核,存在团队使用证据；本批未补查当前维护及许可全貌，保留下一轮重点核验。,"A local review interface for plans, diffs, and web artifacts with agent feedback.",团队可精确评论交付物，并通过分享/拉取形成反馈。,"ai-native, human-in-the-loop, code-review",部分示例绕过权限，需按宿主配置；共享服务独立。,README plan/diff/liveUI、share和SSO代理配置。,1102,,,,,,,,,,False
138,6189,lastmile-ai/aiconfig,AIConfig,https://github.com/lastmile-ai/aiconfig,工程组件另列,团队价值主要通过工程集成实现，适合基础设施或开发组件栏目，不作为即用协作产品优先推荐。,Versionable configurations separating prompts and model behavior from application code.,提示作者与开发者共享同一配置产物协作。,"prompt-management, collaboration, developer-tools",Node运行也需Python编辑器；非多人在线服务。,README JSON configs、local editor、collaborative development。,1087,,,,,,,,,,False
139,6485,tong-io/tongflow,TongFlow,https://github.com/tong-io/tongflow,保留待深核,存在团队使用证据；本批未补查当前维护及许可全貌，保留下一轮重点核验。,A multimodal workflow canvas for reusable creative transformations.,创意团队可在共享节点格式中交接并由代理生成可编辑流程。,"ai-native, multimodal, workflow",desktop是Cloud壳非离线版；AGPL/商业，插件需另装联网。,README文本图像音视频3D、registry/agenttools。,1022,,,,,,,,,,False
140,27,nextlevelbuilder/ui-ux-pro-max-skill,UI UX Pro Max,https://github.com/nextlevelbuilder/ui-ux-pro-max-skill,方法技能另列,团队价值主要是复用规则、技能或学习材料，适合实践栏目，暂不进入协作产品短名单。,A design skill that generates reusable UI guidance and persists project-wide design rules with page-level overrides.,把色彩、字体、间距和组件规范保存为 MASTER.md 与页面覆盖文件，让团队各成员的 AI 生成界面沿用同一标准。,"skills, design, standards",团队级高级 Design Token 架构和支持属于 Premium；本仓库是基础技能，不是设计协作 SaaS。,README L189-249、L434-459,129344,,,,,,,,,,False
141,70,netdata/netdata,Netdata,https://github.com/netdata/netdata,商业或许可边界待核,保留候选；先厘清团队能力的版本、服务与授权边界，再决定推荐写法。,Infrastructure monitoring with per-metric anomaly detection and shared operational dashboards.,运维团队通过异常评分及集中告警定位故障；Cloud 提供成员权限和集中视图。,"operations, observability, anomaly-detection",Agent 是 GPL 开源，UI 与 Cloud 闭源；组织 RBAC/SSO 属于 Cloud，不写成开源 Agent 自带。,README Key Features、Ecosystem、License L506-512,80606,,,,,,,,,,False
142,86,headroomlabs-ai/headroom,Headroom,https://github.com/headroomlabs-ai/headroom,商业或许可边界待核,保留候选；先厘清团队能力的版本、服务与授权边界，再决定推荐写法。,A local context-compression layer with recoverable source content and reusable lessons from failed agent sessions.,团队可在 AI 应用调用链压缩上下文，并将失败经验写入项目共用规则文件；组织部署另有服务。,"context, cost, knowledge",OSS 定位个人本地使用；组织集中配置、SSO 和共享看板属于单独服务；压缩质量和节省比例未实测。,README L35-54、L573-612,73273,,,,,,,,,,False
143,122,meilisearch/meilisearch,Meilisearch,https://github.com/meilisearch/meilisearch,工程组件另列,团队价值主要通过工程集成实现，适合基础设施或开发组件栏目，不作为即用协作产品优先推荐。,"A search engine with semantic and hybrid retrieval, API-key permissions, and tenant-specific results.",工程团队为内部 AI 检索应用构建搜索层，按租户和 API 权限限定可见数据。,"search, rag, development",搜索基础设施，不是成品团队助手；副本分片等企业功能需区分许可，不把 EE 算免费社区功能。,README Features L60-69、Community/Enterprise L106-117,59352,,,,,,,,,,False
144,167,jeecgboot/JeecgBoot,JeecgBoot,https://github.com/jeecgboot/JeecgBoot,工程组件另列,团队价值主要通过工程集成实现，适合基础设施或开发组件栏目，不作为即用协作产品优先推荐。,"A low-code platform combining AI application building, knowledge bases, workflows, and organizational permissions.",业务与研发共同搭建内部应用，复用组织角色和细粒度数据权限，并把 AI 接入业务流程。,"low-code, workflow, knowledge, self-hosted",未逐模块核验发行版本和可选集成，不采用效率百分比或几分钟上线承诺。,README 项目介绍、核心能力、组织权限及许可,47913,,,,,,,,,,False
145,197,ToolJet/ToolJet,ToolJet,https://github.com/ToolJet/ToolJet,商业或许可边界待核,保留候选；先厘清团队能力的版本、服务与授权边界，再决定推荐写法。,A collaborative internal-app builder with AI-assisted generation and agent access through MCP.,AI 生成的页面和查询保留在团队可共同编辑的平台中，沿用权限、环境及版本历史。,"low-code, collaboration, mcp",ToolJet AI 标注 Enterprise；MCP beta；不把高级 RBAC/SCIM 视为社区功能。,README L1-5、L25-31、CE/Enterprise 分类,40947,,,,,,,,,,False
146,287,vercel-labs/skills,Skills CLI,https://github.com/vercel-labs/skills,方法技能另列,团队价值主要是复用规则、技能或学习材料，适合实践栏目，暂不进入协作产品短名单。,A cross-agent CLI for distributing reusable skills from public or private repositories.,团队将技能随项目提交，并用同一分发入口安装到不同成员的编码工具。,"skills, distribution, standards",不同宿主特性不一致；不是组织审核平台，与 skillshare 的同步治理用途有交叉。,README Private Repositories、项目作用域 L132、兼容性说明,32101,,,,,,,,,,False
147,374,Kilo-Org/kilocode,Kilo Code,https://github.com/Kilo-Org/kilocode,商业或许可边界待核,保留候选；先厘清团队能力的版本、服务与授权边界，再决定推荐写法。,A coding-agent ecosystem with IDE and CLI clients and a hosted pull-request review service.,团队可在已有 PR 工作流接收 AI 审查反馈，成员选择不同编辑器时沿用同一工具生态。,"coding, review, development",开源客户端与 Cloud Agent/Code Reviews 服务分开，不声称审查后台全部在 MIT 仓库。,README 定位、Code Reviews L87-91、License,27380,,,,,,,,,,False
148,429,nocobase/nocobase,NocoBase,https://github.com/nocobase/nocobase,商业或许可边界待核,保留候选；先厘清团队能力的版本、服务与授权边界，再决定推荐写法。,An AI-assisted no-code platform where people and agents build business applications under shared permissions.,业务人员可视化审查数据模型、页面和流程；AI 员工按角色、字段权限执行，保留可追溯记录。,"low-code, workflow, governance",插件化产品，未逐插件核验开源与商业授权，不能把全部产品能力归到免费版。,README Collaborative、Permission controls L118-124,24302,,,,,,,,,,False
149,498,livekit/livekit,LiveKit,https://github.com/livekit/livekit,工程组件另列,团队价值主要通过工程集成实现，适合基础设施或开发组件栏目，不作为即用协作产品优先推荐。,"Realtime media infrastructure for connecting people, devices, and voice agents in permissioned rooms.",工程团队构建会议或语音工作流，让人和 AI 在同一实时会话交换音视频与数据，按 token 控制房间权限。,"communication, voice, infrastructure",此仓库是 SFU 服务；STT/LLM/TTS 在独立 Agents SDK 和供应商中，不混为一体。,README L13-16、Agents SDK 说明 L30、JWT 房间权限 L143,21011,,,,,,,,,,False
150,617,HKUDS/DeepCode,DeepCode,https://github.com/HKUDS/DeepCode,保留待深核,存在团队使用证据；本批未补查当前维护及许可全貌，保留下一轮重点核验。,"An agent coding workbench with durable task records, reusable project skills, and reviewable execution evidence.",团队把开发约定封装为技能，任务关联批准、测试与产物，便于成员审查和接手。,"coding, skills, traceability",多个 UI 共用本地服务不等于多人账号系统；不按早期论文复现工具印象描述当前产品。,README sessions/skills、L578、L691、L710-719,16602,,,,,,,,,,False
151,667,chenhg5/cc-connect,cc-connect,https://github.com/chenhg5/cc-connect,保留待深核,存在团队使用证据；本批未补查当前维护及许可全貌，保留下一轮重点核验。,A messaging bridge for coding agents with project-specific sessions and privileged-user controls.,成员从飞书、钉钉、Slack 等工作频道调用项目智能体，管理员限制目录与 shell 等高权限命令。,"communication, coding, integration",不同平台能力不同，需按 support matrix 配置；群聊连接本地执行器不等于默认安全多租户。,README L245-266、admin_from L423-424、OS-user isolation,15584,,,,,,,,,,False
152,710,logto-io/logto,Logto,https://github.com/logto-io/logto,工程组件另列,团队价值主要通过工程集成实现，适合基础设施或开发组件栏目，不作为即用协作产品优先推荐。,Authentication and organization infrastructure for SaaS and AI applications.,工程团队为 AI 应用统一登录、成员邀请和组织角色，避免各产品重复实现权限基础。,"identity, governance, development",通用身份组件，不是智能体执行策略引擎；Cloud 与自建套餐需区别。,README 定位、Why Logto、organization RBAC,14602,,,,,,,,,,False
153,718,casdoor/casdoor,Casdoor,https://github.com/casdoor/casdoor,工程组件另列,团队价值主要通过工程集成实现，适合基础设施或开发组件栏目，不作为即用协作产品优先推荐。,"A self-hosted identity platform with organization management, policy-based authorization, and MCP support.",团队统一员工和应用身份，把 AI/MCP 接入已有 SSO 与角色策略，并追踪登录和管理操作。,"identity, governance, mcp",身份层不负责验证 AI 业务决策；具体 MCP 授权路径需按集成确认。,README L9-11、policy authorization、audit logs,14443,,,,,,,,,,False
154,744,coleam00/context-engineering-intro,Context Engineering Template,https://github.com/coleam00/context-engineering-intro,方法技能另列,团队价值主要是复用规则、技能或学习材料，适合实践栏目，暂不进入协作产品短名单。,"A repository template for supplying coding agents with project rules, examples, documentation, and validation context.",团队把项目背景和验收方式留成共同资料，让新会话和不同成员的 AI 使用一致上下文。,"context, templates, standards",模板不是强制执行平台，不采纳 10x/100x 效果宣传。,README 定位、Context Engineering 组成,13871,,,,,,,,,,False
155,842,dataelement/bisheng,BISHENG,https://github.com/dataelement/bisheng,保留待深核,存在团队使用证据；本批未补查当前维护及许可全貌，保留下一轮重点核验。,"An enterprise AI application platform with visual workflows, human feedback, and organizational access controls.",业务专家和研发共同编排文档审查、报告与客服流程，在执行中人工介入并按组管理应用权限。,"workflow, knowledge, human-in-the-loop",未逐项区分发行版商业功能，不声称全免费；专家级和高精度宣传未实测。,README Features L37-51,11988,,,,,,,,,,False
156,862,corsairdev/corsair,Corsair,https://github.com/corsairdev/corsair,工程组件另列,团队价值主要通过工程集成实现，适合基础设施或开发组件栏目，不作为即用协作产品优先推荐。,An integration layer for agents and applications with consistent APIs and user-specific connections.,工程团队复用 SaaS 连接和认证，向不同用户提供自己的工具权限与业务数据接入。,"integration, identity, development",OAuth 刷新与 webhook 托管由 Hub 提供，可自建范围需对应部署，不能承诺全量托管等价。,README L13、Why does this exist,11498,,,,,,,,,,False
157,893,huggingface/skills,Hugging Face Skills,https://github.com/huggingface/skills,方法技能另列,团队价值主要是复用规则、技能或学习材料，适合实践栏目，暂不进入协作产品短名单。,"Official agent skills for Hub operations, dataset preparation, training, and evaluation workflows.",ML 团队用共用技能规范模型、数据和作业操作，减少成员使用不同 AI 工具时的流程差异。,"skills, mlops, standards",技能不包含模型与算力服务；按需选择流程，不执行仓库指令。,README L3-12、hf-cli bootstrap,11073,,,,,,,,,,False
158,898,kedro-org/kedro,Kedro,https://github.com/kedro-org/kedro,工程组件另列,团队价值主要通过工程集成实现，适合基础设施或开发组件栏目，不作为即用协作产品优先推荐。,"A Python framework for modular, reproducible data and ML pipelines with shared project conventions.",成员按共同模板组织数据、模型版本与管线，让不同工程背景的人复现、测试和维护同一项目。,"mlops, data, standards",数据工程框架，不是聊天或 agent 协作平台；部署编排可依赖其他工具。,README Features、team collaboration L85,11006,,,,,,,,,,False
159,974,diet103/claude-code-infrastructure-showcase,Claude Code Infrastructure Showcase,https://github.com/diet103/claude-code-infrastructure-showcase,方法技能另列,团队价值主要是复用规则、技能或学习材料，适合实践栏目，暂不进入协作产品短名单。,"Reference patterns for project skills, lifecycle hooks, and durable development documentation.",团队借鉴技能触发和文档组织方式，把工程规范纳入成员共用的 AI 编码环境。,"skills, standards, practices",明确不是可运行应用；部分 hooks 需按项目改造，权限仍自行管理。,README L3-24、settings/hook boundary L425,10025,,,,,,,,,,False
160,1034,modem-dev/hunk,Hunk,https://github.com/modem-dev/hunk,团队直接性不足,当前证据主要支持个人使用、产物交接或代理编排，暂不优先；不是判定没有团队价值。,A terminal diff-review tool with inline annotations for agent-authored changes.,团队成员审查多文件 AI 修改时看到关联注释和变更流，将人工判断放在代码交付环节。,"review, coding, human-in-the-loop",审查客户端，不是组织托管 PR 平台；注释不保证正确。,README L3、L12-16,9345,,,,,,,,,,False
161,1061,LearningCircuit/local-deep-research,Local Deep Research (LearningCircuit),https://github.com/LearningCircuit/local-deep-research,保留待深核,存在团队使用证据；本批未补查当前维护及许可全貌，保留下一轮重点核验。,"A configurable research application with citations, searchable knowledge, and isolated per-user data.",组织可部署统一研究入口，同时把成员的数据与模型密钥分开保存，形成可复核报告。,"research, knowledge, self-hosted",与 langchain-ai/local-deep-researcher 不是同项目；未实测加密隔离，不引用自报准确率。,README 定位、per-user encrypted DB L162,9112,,,,,,,,,,False
162,1092,trailhq/Graft,Graft,https://github.com/trailhq/Graft,团队直接性不足,当前证据主要支持个人使用、产物交接或代理编排，暂不优先；不是判定没有团队价值。,Code-derived context graphs and reusable agent wiring for consistent repository understanding.,团队提交同一上下文接入配置，各成员从代码生成本地图，减少新会话重复定位项目知识。,"context, coding, standards",图缓存不提交，不能描述成直接共享所有经验图；性能指标未验证。,README L78-82、L118,8827,,,,,,,,,,False
163,1103,NVIDIA/OpenShell,NVIDIA OpenShell,https://github.com/NVIDIA/OpenShell,工程组件另列,团队价值主要通过工程集成实现，适合基础设施或开发组件栏目，不作为即用协作产品优先推荐。,"A policy-controlled sandbox runtime for agent filesystem, credential, and network access.",平台团队通过声明式策略统一约束 AI 执行环境，减少每个智能体自行管理权限。,"sandbox, security, governance",0.1.0 仍 upcoming；Kubernetes 和 WSL 路径有实验状态；不保证绝对阻止泄漏。,README L18-22、host/runtime、Kubernetes experimental,8714,,,,,,,,,,False
164,1116,lastmile-ai/mcp-agent,mcp-agent,https://github.com/lastmile-ai/mcp-agent,工程组件另列,团队价值主要通过工程集成实现，适合基础设施或开发组件栏目，不作为即用协作产品优先推荐。,Composable MCP agent patterns with durable workflow execution and operator approval pauses.,工程团队复用工具连接与运行模式，复杂任务可持久暂停等待成员批准后恢复。,"mcp, framework, human-in-the-loop",持久能力依赖 Temporal，基础库与相关服务分开。,README Overview L30-39、approval L596,8549,,,,,,,,,,False
